rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
111,"spotify:track:45s98gUcOcj5nJeFDNLH2g","Burna Boy, Polo G","Want It All","Spaceship Entertainment Ltd.",61,128,18,"18807"
112,"spotify:track:5FG7Tl93LdH117jEKYl3Cm","WizKid, Tems","Essence (feat. Tems)","Starboy/RCA Records",96,129,18,"18622"
113,"spotify:track:5lDCLqck5aHAQIU81ZhELS","Savage, Victony","Rosemary","Savage, Distributed by Dvpper",60,123,18,"18546"
114,"spotify:track:2psl5iNJCrmmm2XtS7LZqb","Rema","Soundgasm","Mavin Records/Jonzing World",21,115,18,"18458"
115,"spotify:track:2g6tReTlM2Akp41g0HaeXN","Kendrick Lamar, Blxst, Amanda Reifer","Die Hard","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",19,101,5,"18369"
116,"spotify:track:4vHy2IHzf3EabEa7oMpUZB","1da Banton","No Wahala","Squareball Ent. Limited",33,116,18,"18207"
117,"spotify:track:33F1s66ZzEVSAYy8mv2hda","Dj Boat","Peru","LMW Enteaiments",25,122,18,"18068"
118,"spotify:track:6vcL12JWIzSjpxxqFPmh9L","Niniola","Want","DRUMROLL RECORDS",91,91,2,"17765"
119,"spotify:track:06mcgnr3eJ8cF8ed0WfdPA","Peruzzi, Fireboy DML","Southy Love","Davido Music Worldwide",69,117,18,"17744"
120,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",84,121,18,"17576"
121,"spotify:track:1s2FsIDYlX6nhQ6UXF4V2w","Gyakie","SOMETHING","SM Entertainment West Africa Limited",121,-1,1,"17424"
122,"spotify:track:29e2gdZN35wxeGgDtkXjIa","LADIPOE, BNXN fka Buju","Feeling","Mavin Records",34,133,18,"17300"
123,"spotify:track:3t7hYVVDzf1VDUz0pu5Zy1","Skiibii","Baddest Boy","More Grace Music/Dvpper Music",57,165,18,"17238"
124,"spotify:track:3ovSaVUTDOtxfDw5xh9qJ4","Falz, chike","Knee Down","B.A.H.D Guys Entertainment Limited",124,-1,1,"16909"
125,"spotify:track:7ohROa13QK43JBRqfCmz4P","Lil Durk, Gunna","What Happened To Virgil (feat. Gunna)","Alamo",91,137,14,"16799"
126,"spotify:track:4lkScrQ9Hy3384o8aFFxS7","Bella Shmurda","My Friend","Dangbana Republik",14,138,18,"16569"
127,"spotify:track:3S68RFe1lsdCdTMPIMJM3X","Pharrell Williams, 21 Savage, Tyler, The Creator","Cash In Cash Out","Columbia",127,-1,1,"16564"
128,"spotify:track:1QPreu0BNOrUfEb8HTd2qG","Kendrick Lamar","Rich Spirit","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",26,118,5,"16316"
129,"spotify:track:5hqC4PiceksAR1UXRyHx0r","Blaqbonez","Commander","Chocolate City Music",25,134,17,"16063"
130,"spotify:track:6858xmZthZ7jEe06VyZxbN","LADIPOE, Fireboy DML","Running","Mavin Records",40,141,18,"15969"
131,"spotify:track:3FskQrDXcY24ur2fCvz35O","Burna Boy","Ye","Spaceship Entertainment Ltd.",131,145,18,"15947"
132,"spotify:track:3QO1m6i0nsrp8aOnapvbkx","WizKid, Damian Marley","Blessed (feat. Damian Marley)","Starboy/RCA Records",124,153,18,"15860"
133,"spotify:track:3qvZW1bLvAsJIUhYcuvf4F","Burna Boy, Stormzy","Real Life (feat. Stormzy)","Spaceship Entertainment Ltd.",133,154,13,"15811"
134,"spotify:track:0hnfvkzawEjVVxBUWDEnEL","Cheque, Ayra Starr","Dangerous (feat. Ayra Starr)","Penthauze / EMPIRE",113,157,18,"15749"
135,"spotify:track:1Y5Jvi3eLi4Chwqch9GMem","Kodak Black","Super Gremlin","Atlantic Records",68,152,18,"15698"
136,"spotify:track:3lzUeaCbcCDB5IXYfqWRlF","Kendrick Lamar, Kodak Black","Silent Hill","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",30,124,5,"15688"
137,"spotify:track:5uItduNPpny34fTI1AIyGi","T dollar","Rise","T dollar",137,-1,3,"15664"
138,"spotify:track:6g8Ztyoym7VNLEzl8alsJK","Bad Boy Timz","Move","Shock Absorbers Music / EMPIRE",34,130,18,"15650"
139,"spotify:track:75zEQJ59eRr30T7VmoB3nG","Falz, BNXN fka Buju","Ice Cream","B.A.H.D Guys Entertainment Limited",39,112,13,"15539"
140,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",96,142,18,"15421"
141,"spotify:track:6qk3jI8bKCgURI3h0d8zBZ","Wande Coal","Again","Starstruck Management, Inc. / EMPIRE",112,143,18,"15352"
142,"spotify:track:7aeIvptSeWBdtuPyyjM3wM","Terri","Danger","Terri",26,151,13,"15315"
143,"spotify:track:163l4xzEe3JAfPbv0kYNQo","Dj Boat","Question","LMW Enteaiments",71,146,18,"15234"
144,"spotify:track:2Jy4EdqIZswDZvVDh5dx3A","JAE5, Skepta, Rema","Dimension (feat. Skepta & Rema)","Black Butter",57,126,18,"15133"
145,"spotify:track:6zublRIkZocboXucqc8hgB","Ayra Starr, CKay","Beggie Beggie","Mavin Records",78,148,18,"15097"
146,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",146,183,7,"14989"
147,"spotify:track:7BglTfVmbUUOCQUNof4RBF","Adekunle Gold, Ty Dolla $ign","One Woman","Afro Urban Records",43,158,18,"14779"
148,"spotify:track:7pb3dKlebKOzVzT7fy9fJ7","Lil Kesh, Joeboy","Vanilla Bottega","Ziiki Media",34,114,4,"14704"
149,"spotify:track:2GWkmTjlEtBN6n6POjqLWP","Simi, Adekunle Gold","Balance","Studio Brat",90,90,2,"14632"
150,"spotify:track:6L0owZVOkCYYajP9ChDHdX","Joeboy","Cubana","emPawa Africa Limited",28,139,11,"14627"
151,"spotify:track:3EMp20j5E42MxfFbsEsIvD","Jack Harlow, Drake","Churchill Downs (feat. Drake)","Generation Now/Atlantic",85,150,5,"14613"
152,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Parlophone UK",152,173,2,"14537"
153,"spotify:track:1YpGByjEamqwgni31e3Ylu","King Perryy, Bella Shmurda, BackRoad Gee","Go German","Continental",130,149,10,"14519"
154,"spotify:track:2kv1kV0VYnFr2xUuHOPOtP","Ollie Flows, Asake","Trabaye","3608745 Records DK",23,159,18,"14518"
